,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-157.59162173754595,24.48905599969329,-196.5273046408861,-123.79864362028292,,
1,0,-13.45668285656754,17.79851826010304,-38.2610762595116,21.620733005356097,0.23580995202064514,0.008259729482233524
2,1,80.68635221510516,13.409863600958623,66.84020792573546,113.93178714962076,0.015288335271179676,0.006605657283216715
3,2,170.83353953298976,42.70210513429515,116.90817646532902,237.64605804078738,0.00650373101234436,0.0052034491673111916
4,3,203.23855300643302,27.520226357348413,162.5795746781314,250.51665419707734,0.004589785821735859,0.004149210639297962
5,4,187.50646353190854,26.874713489348103,122.12827232728304,223.82609916852,0.00356844300404191,0.0031430069357156754
6,5,254.6309488256682,33.85898526878635,197.69656948947642,318.44328294296304,0.0030408066231757402,0.0021194203291088343
7,6,271.7919961822827,26.762995772601396,213.4119435409826,302.6449148287354,0.00220158277079463,0.002271817997097969
8,7,292.3275915322691,37.069920074574036,225.08939513080273,357.3579506246222,0.002070819027721882,0.001359877409413457
9,8,296.46345606197474,47.8243311480911,241.80548942068697,377.83019046325546,0.0019083479419350624,0.00197377591393888
10,9,345.16136854604196,36.9043434064619,279.85443517696274,390.7288772764633,0.0018368292367085814,0.0012920214794576168
11,10,313.8206784700818,40.19520641762555,256.01873192001005,371.5588232505902,0.0018111407989636064,0.0018688623094931245
