,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-146.63637956730742,22.063025377136075,-182.9311693246701,-120.73705571875826,,
1,0,-14.643456831591408,26.59247576732981,-65.04715476782292,24.11165294347191,0.23772946000099182,0.006380254402756691
2,1,106.23530816689569,25.28830601781798,69.67259928697634,144.08543967712382,0.011010782793164253,0.006345419213175774
3,2,220.05997772132173,35.451339651931036,182.83015098051013,301.8900092145084,0.0076384879648685455,0.004670334979891777
4,3,260.69336695703294,32.04662297744939,220.79293146462314,305.7970877524368,0.004387559834867716,0.004141548182815313
5,4,302.53746089028914,44.81144438399666,233.5374480764836,362.55037222991695,0.00421071145683527,0.0032552562188357115
6,5,339.3305157442006,27.905370602430274,284.2508287712188,393.8547019033397,0.003431671764701605,0.0026453614700585604
7,6,349.1439439079108,47.16587162567553,252.48971842279218,421.40904788960495,0.0029427912086248398,0.0024375938810408115
8,7,412.3135818459785,59.411326678075724,325.5866929461083,548.83778232795,0.002415451919659972,0.0018044173484668136
9,8,349.4042281306449,36.05388563690097,294.88639695922205,439.7623583192258,0.0024776612408459187,0.0019915567245334387
10,9,388.6754145231568,59.043065834943874,323.5641497813955,501.7490394438163,0.0017387510742992163,0.0017931053880602121
11,10,378.7006546504968,45.739320481488576,303.1211244079042,474.0905749243635,0.0018955443520098925,0.0021771681495010853
