,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-153.4359835380405,29.93064758147292,-202.42523408755906,-118.0262899913858,,
1,0,-56.910809674931286,21.466380748785273,-84.38839003266688,-22.269580559612734,0.23402491211891174,0.00734045309945941
2,1,-4.6916755804215775,24.23746965314085,-43.0115785860416,39.41431115701649,0.008845542557537556,0.004222831688821316
3,2,36.83819917410301,28.026651673250147,-9.81084142656262,80.83223246649813,0.0044487239792943,0.0034910314716398716
4,3,53.07973848171622,23.482193258472137,-8.140870630495053,78.14889919945358,0.003473834600299597,0.002597557380795479
5,4,72.28314613631565,18.162899578147577,28.5198495031195,92.02477914626131,0.0030238418839871883,0.0019458358874544501
6,5,89.54369445252264,26.262357313137915,51.2860811273775,151.59261866434593,0.0018002860015258193,0.0018881825963035226
7,6,101.62956137202539,27.014285839396422,63.76853237948496,150.8552900613209,0.0019572381861507893,0.0019286376191303134
8,7,98.1676552077208,22.162539257018,45.6822407605182,131.11464535568507,0.001547090825624764,0.0011573900701478124
9,8,117.497686150979,25.22744730542932,81.43195905466696,166.2382917205474,0.0015908308560028672,0.0013879180187359452
10,9,114.82125685073702,25.543987512786025,82.86124330152957,163.82122091100862,0.001315736910328269,0.0012529429513961077
11,10,108.73160708159294,35.57524351035454,49.00103959538542,170.98674793063697,0.0013386285863816738,0.0009654882596805692
