,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-168.8262442643303,24.081569114734027,-218.4461098342508,-128.56049378514217,,
1,0,45.61586375526871,45.24756438511155,-39.02281932834255,113.0402331073658,0.24118587374687195,0.007223844528198242
2,1,129.51400537152958,31.192480569390572,87.07196046095045,206.86974412110413,0.01190279982984066,0.006524883210659027
3,2,208.9908143162226,28.473874502024092,166.95357241426143,260.86689097164515,0.005777370184659958,0.0033461381681263447
4,3,236.84076515203583,32.75704790618628,160.74393209226696,275.89107886506315,0.004429547116160393,0.002974261762574315
5,4,254.64041178891244,38.293683828242315,174.1093838615564,310.24520486031224,0.0034751654602587223,0.0033910698257386684
6,5,286.76328944757944,37.067016838891,233.6496847963182,342.89865254142507,0.0029185388702899218,0.0023504544515162706
7,6,305.9793998149721,50.803854532946865,216.41312718974348,372.01100943236327,0.002898986916989088,0.0022199295926839113
8,7,343.6272924929532,33.29380528327021,294.81716188542185,394.6800948506973,0.00243578664958477,0.002303036395460367
9,8,319.0860898132425,24.761029857807436,275.32116953773584,359.3221579366945,0.002616500947624445,0.0019603429827839136
10,9,313.05542159742606,28.536833318376683,259.01460325617154,363.85302481205366,0.002137592528015375,0.0017412914894521236
11,10,340.0016843309337,38.752772674663106,246.78260416299216,395.91093606575237,0.0016033470164984465,0.0015206846874207258
