,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-146.65405501958247,23.641746279101323,-185.59156242306744,-105.17510504291829,,
1,0,13.12901292933872,14.59760591616622,-8.437091063301477,34.1351561213782,0.25329723954200745,0.007544695399701595
2,1,92.00923533702499,35.478006622409836,27.64457901465257,164.2897236414534,0.012105132453143597,0.004593619145452976
3,2,134.18683478522965,26.62841212516557,94.62761301526956,166.90396568153213,0.00799145270138979,0.0034618640784174204
4,3,210.69003558127878,33.50023782940116,120.47540828165795,243.36680840405822,0.004516993649303913,0.002189952414482832
5,4,238.7757762217414,33.456163333210206,183.3553622129564,294.98193286130265,0.003415965009480715,0.0024798342492431402
6,5,273.9152388806803,29.27853780605573,211.60265128742458,306.74719914756434,0.002952679991722107,0.0024210421834141016
7,6,251.98012395704686,46.647320670827796,164.04831234143927,327.8155696977875,0.0024310690350830555,0.002531875390559435
8,7,272.01340176760095,43.18117091864224,186.88260007766314,374.64941897030224,0.002290161792188883,0.0012191201094537973
9,8,306.46064600071725,39.8198826266772,248.18969216159627,383.67993791937477,0.002220439724624157,0.001847370876930654
10,9,336.88962691760423,35.852692359310005,252.92047159022397,384.5012680596472,0.002257217885926366,0.001870431238785386
11,10,341.9284264350901,29.485517430171548,293.1659024718483,396.84808644411703,0.0016299635171890259,0.001492678769864142
