,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-178.49709669145787,40.19453671283415,-247.19630126290008,-120.51972114733145,,
1,0,-6.322105722595714,21.3958124973962,-45.72331133178338,42.02655382577424,0.22691158950328827,0.006988124456256628
2,1,93.5813823424689,25.92508989290384,43.466976160875326,150.23419936836117,0.009345658123493195,0.004390066955238581
3,2,211.1291136844401,29.761116152201215,162.5155530679403,260.3114329564704,0.007306884042918682,0.00452677346765995
4,3,192.85667012029094,42.319358404435,124.12331977962504,260.5784491761371,0.004909386392682791,0.004576397594064474
5,4,214.84917110371384,22.766735594500457,177.2817105971722,257.50892941270183,0.0035936590284109116,0.002941652899608016
6,5,251.99808813954564,46.56898179984551,178.07819785818123,320.81861073459925,0.0030337367206811905,0.0022818990983068943
7,6,310.67737391585797,21.174180762493375,274.10022079931286,342.02736038711896,0.0032389480620622635,0.002065759850665927
8,7,290.804613679206,30.29414300474026,235.51483028905295,332.36737851629744,0.0022230814211070538,0.00220000883564353
9,8,304.7042564760699,41.45083521066217,272.43632193866506,414.50862342162964,0.0022932973224669695,0.0020897199865430593
10,9,307.05233922746703,45.14671205220852,246.753369947024,399.91321022306914,0.0015964763006195426,0.0029084847774356604
11,10,368.42915246983057,45.6725953526471,309.8882926296944,476.12596838962696,0.0021624737419188023,0.0016363962786272168
