,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-150.37952290876626,39.875537988803615,-234.53582556730277,-98.03204861201934,,
1,0,-50.118015161881374,21.517499938181768,-90.5487529289046,-16.162079565559917,0.2333563268184662,0.00826308224350214
2,1,54.90562971762796,14.42734735925346,38.27297646509123,82.18311781123069,0.013972537592053413,0.005737679544836283
3,2,134.02107943398318,19.418733161425532,107.41571601151176,177.62495443056855,0.006543696857988834,0.005222272127866745
4,3,162.81670514674101,33.89940155596111,81.26228848718893,215.60487919027307,0.0050687892362475395,0.0037004228215664625
5,4,251.33889764283055,41.60525120142331,184.10110593087953,322.8016736848008,0.003758927108719945,0.003794299438595772
6,5,305.397455551882,51.91964091155398,242.77595437064744,402.3634880555733,0.0027372820768505335,0.0025029454845935106
7,6,346.89552792748657,38.294423713460745,254.93126420474556,383.86266682830046,0.0025459981989115477,0.002946677152067423
8,7,306.53002879148687,46.55132528618339,210.58859281449946,377.1923274428497,0.0023226584307849407,0.0017497148364782333
9,8,276.24445777125675,40.59874779485576,186.73587734517255,334.9447614578294,0.0019591469317674637,0.00271960673853755
10,9,328.15957584498886,39.41570826894186,278.1402208622876,415.4573086847331,0.0016691886121407151,0.0016335364198312163
11,10,321.64687271532904,43.8036580432494,237.02738718732388,385.5262412540503,0.0017165185417979956,0.0023671381641179323
