,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-157.28101676814174,28.949424801860747,-214.67966846520534,-125.15327814518884,,
1,0,-16.194927874561774,24.455624088834252,-69.2135061474543,24.16451925809806,0.22467860579490662,0.006911222357302904
2,1,55.62713616669955,36.492984012934755,-5.543203550410288,142.75706410400858,0.013289317488670349,0.005725536495447159
3,2,140.78172366261828,26.24448705332663,76.89910971262803,185.58029377213245,0.007357755210250616,0.005235021468251944
4,3,166.50931965342608,24.554013826343542,115.98584510700269,212.54377734990794,0.005465422756969929,0.0070726023986935616
5,4,255.32736202410916,45.38482221547328,182.6727026155664,346.0114678169486,0.0043561519123613834,0.002961937803775072
6,5,249.87591024936106,35.69288237534856,193.0190337398223,320.7491789494041,0.003645812626928091,0.0023590452037751675
7,6,277.045722345193,33.507924329388246,217.4224068314117,331.02457495322426,0.002534009050577879,0.0020757541060447693
8,7,266.4847644550627,28.911076802745253,214.62530444496593,323.9729334602672,0.0026554628275334835,0.003355232998728752
9,8,291.89826265589033,44.41426840326191,232.3515128258604,363.6778760922019,0.0023771559353917837,0.0021601247135549784
10,9,327.4018267683513,37.790644856515605,284.5036775051014,405.9173874715026,0.0019621208775788546,0.0018316240748390555
11,10,313.9757041286174,25.70718566865998,268.47597726613765,353.37119600009714,0.0018990125972777605,0.0014946316368877888
