,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-146.4011372919711,29.707533599225354,-178.925475470692,-90.10444978773211,,
1,0,13.222447124624074,36.20143810616433,-36.85829176256391,80.30492455597474,0.2256748229265213,0.007257410790771246
2,1,173.85677721723314,36.17209498326838,121.90720236519161,248.1858464812086,0.009053362533450127,0.004999647382646799
3,2,168.36322303636575,42.87883172126539,96.2555704516203,256.3659072128723,0.008266414515674114,0.003565169870853424
4,3,179.2614363392604,38.922143843803994,117.4723431520045,250.45897981718684,0.004700557328760624,0.003906744997948408
5,4,226.9457193105753,48.88396564983927,130.49085550810003,290.0913251324872,0.0038203999865800142,0.004203657619655132
6,5,251.70491729231563,44.46851905447194,183.91048598858194,325.819040985289,0.0031166556291282177,0.0019463172648102045
7,6,275.79987928411776,15.937266466088587,247.05328615924714,302.59212986522687,0.0022750571370124817,0.002168261678889394
8,7,304.58987746067453,36.14563867770328,239.8491487640983,364.30828914237236,0.002668663626536727,0.0018489109352231026
9,8,285.05931832340264,35.17021408858257,225.32798800560658,345.23237601223946,0.0020471764728426933,0.0019676610827445984
10,9,347.79733989811245,39.967664824198195,248.0009301246522,398.818021548066,0.001847729436121881,0.0016755200922489166
11,10,292.3007189760377,35.91348069652412,223.605081874906,354.36060336013196,0.0016814589034765959,0.0020678937435150146
